First Name,Last Name,Gender,Age,Email,Phone,College,Occupation Title,Average Pay,Highest Pay,Marital Status
Steven,Moore,Male,20,s.moore@randatmail.com,898-5800-48,University of Florida,Securities Compliance Examiner,181645.32,244184.00,Married
Victoria,Crawford,Female,28,v.crawford@randatmail.com,926-5940-85,Indiana University Bloomington,Patent Attorney,170324.14,199225.00,Single
Tara,Morris,Female,24,t.morris@randatmail.com,322-5185-54,Ohio State University,Nurse Anesthetist (title 38),168287.36,207800.00,Single
James,Stewart,Male,26,j.stewart@randatmail.com,585-1667-02,University of Wisconsin-Madison,Patent Administrator,166874.05,187148.00,Married
Naomi,Taylor,Female,29,n.taylor@randatmail.com,601-3895-97,Penn State University,Administrative Law Judge,163169.71,183425.00,Single
Kristian,Perkins,Male,27,k.perkins@randatmail.com,474-5733-46,Clemson University,Technical Systems Program Manager,153384.09,199548.00,Single
Lily,Walker,Female,25,l.walker@randatmail.com,390-5808-44,Arizona State University,General Mathematican/Statistician,153383.31,241600.00,Married
Alina,Hamilton,Female,23,a.hamilton@randatmail.com,072-5418-60,University of Illinois Urbana-Champaign,Chief Engineer,151178.77,165164.00,Married
Jared,Ellis,Male,30,j.ellis@randatmail.com,121-0914-76,University of Georgia,Metallurgist,149602.23,187000.00,Married
April,Murray,Female,18,a.murray@randatmail.com,685-6230-57,Purdue University,Patent Classifying,144385.10,169995.00,Married
Ned,Kelley,Male,18,n.kelley@randatmail.com,141-1281-66,University of Michigan,Astronomy and Space Scientist,141854.48,181562.00,Married
Gianna,Cunningham,Female,27,g.cunningham@randatmail.com,294-6850-64,Texas A&M University,Program Manager,141691.94,334175.00,Single
Eleanor,Sullivan,Female,29,e.sullivan@randatmail.com,074-6153-63,Brigham Young University,General Attorney,139209.77,287774.00,Married
Daryl,Armstrong,Male,25,d.armstrong@randatmail.com,188-0973-14,University of South Carolina,Mathematician,137429.97,258616.00,Married
Julian,Foster,Male,25,j.foster@randatmail.com,678-5859-97,University of Alabama,Physicist,137380.22,270400.00,Single
Charlie,Bailey,Male,27,c.bailey@randatmail.com,127-5756-72,University of Arizona,Financial Analyst,136575.52,286345.00,Married
Aiden,Moore,Male,21,a.moore@randatmail.com,667-4864-29,University of Central Florida,Patent Adviser,136010.67,161900.00,Married
Kevin,Hall,Male,22,k.hall@randatmail.com,109-8777-36,Michigan State University,Financial Manager,135006.47,255554.00,Married
Dainton,Thomas,Male,21,d.thomas@randatmail.com,005-0253-97,University of Kentucky,Fish and Wildlife Administrator,134021.85,187000.00,Single
Tiana,Morgan,Female,21,t.morgan@randatmail.com,710-6187-19,Baylor University,Health System Administrator,130855.02,225398.00,Single
Dexter,Foster,Male,28,d.foster@randatmail.com,234-8342-33,University of Texas at Austin,Computer Scientist,130658.25,220000.00,Single
Kirsten,Higgins,Female,23,k.higgins@randatmail.com,931-4780-00,University of Colorado Boulder,Financial Institution Examiner,129470.85,288524.00,Single
Miranda,Johnston,Female,25,m.johnston@randatmail.com,063-9733-36,University of Iowa,Aerospace Engineer,128827.22,193840.00,Married
Roman,Thompson,Male,20,r.thompson@randatmail.com,548-0813-44,North Carolina State University,Actuarial Scientist,128738.14,187000.00,Married
Paul,Hunt,Male,20,p.hunt@randatmail.com,567-7394-56,University of Virginia,Pharmacologist,128099.34,248699.00,Married
Miley,Stevens,Female,26,m.stevens@randatmail.com,617-9292-92,Texas Tech University,Zoologist,127859.44,173417.00,Single
Emma,Cunningham,Female,26,e.cunningham@randatmail.com,954-9070-92,Miami University (Ohio),General Engineer,127312.16,252450.00,Single
Harold,Ferguson,Male,26,h.ferguson@randatmail.com,525-1211-44,University of Notre Dame,Electronics Engineer,126852.81,192879.00,Married
Alissa,Cameron,Female,27,a.cameron@randatmail.com,955-7839-18,University of Arkansas,Medical Officer,126560.27,390000.00,Single
Ellia,Dixon,Female,29,e.dixon@randatmail.com,261-1852-49,University of Utah,Photographic Technology,126494.80,165480.00,Married
Adele,Armstrong,Female,22,a.armstrong@randatmail.com,158-8569-51,University of Cincinnati,Computer Engineer,126288.20,199869.00,Single
James,Chapman,Male,27,j.chapman@randatmail.com,938-9590-92,Grand Valley State University,Cryptanalyst,125324.94,163900.00,Married
Madaline,Stevens,Female,24,m.stevens@randatmail.com,698-4922-18,Utah State University,Mediator,125200.78,172100.00,Single
Savana,Kelley,Female,22,s.kelley@randatmail.com,421-1117-93,Virginia Tech,Education Researcher,125157.33,187000.00,Single
Sienna,Brooks,Female,22,s.brooks@randatmail.com,018-8626-04,"University of Tennessee, Knoxville",Air Traffic Controller,125067.68,202285.00,Married
Harold,Elliott,Male,25,h.elliott@randatmail.com,983-4907-30,University of Missouri,Patent Examiner,124675.63,180388.00,Married
Arthur,Hawkins,Male,30,a.hawkins@randatmail.com,274-4872-82,Iowa State University,Air Safety Investigator,124221.08,163400.00,Single
Stuart,Morgan,Male,24,s.morgan@randatmail.com,672-3229-86,University of Alabama at Birmingham,Foreign Affairs Personnel,123707.05,224020.00,Single
Isabella,Kelley,Female,28,i.kelley@randatmail.com,179-3801-53,Colorado State University,Materials Engineer,123014.58,172100.00,Married
Henry,Carroll,Male,19,h.carroll@randatmail.com,339-4620-62,"University of California, Los Angeles",Naval Architect,123013.85,161900.00,Single
Violet,Clark,Female,18,v.clark@randatmail.com,954-8074-35,University of Nebraska-Lincoln,Foreign Agricultural Affairs Personnel,122967.66,187000.00,Married
Lana,Ellis,Female,22,l.ellis@randatmail.com,919-2921-75,University of Miami,Plant Physiologist,122262.03,207800.00,Married
Martin,Davis,Male,30,m.davis@randatmail.com,154-7927-48,Northern Arizona University,Transportation Industry Analyst,122236.03,161900.00,Married
Oscar,Ellis,Male,19,o.ellis@randatmail.com,283-7871-07,Indiana University-Purdue University Indianapolis,Economist,121837.32,268306.00,Single
Brooke,Stewart,Female,25,b.stewart@randatmail.com,274-9039-09,Oklahoma State University,Employee Benefits Lawyer,121701.60,187000.00,Single
James,Cooper,Male,30,j.cooper@randatmail.com,226-9573-77,University of Pennsylvania,International Cooperation Personnel,121432.76,161900.00,Single
